titulo,autor,ano_lancamento,comentarios
Duna,Frank Herbert,1965,Gostaria de explorar mais ficção científica.
A Menina que Roubava Livros,Markus Zusak,2005,Já ouvi ótimas recomendações sobre esse livro.
Orgulho e Preconceito,Jane Austen,1813,Um clássico que sempre quis ler.
O Nome do Vento,Patrick Rothfuss,2007,Uma fantasia muito elogiada.
A Insustentável Leveza do Ser,Milan Kundera,1984,Interessado em explorar filosofia na ficção.
A Tormenta de Espadas,George R.R. Martin,2000,Continuação da série de fantasia.
A Revolta de Atlas,Ayn Rand,1957,Quero entender melhor os temas abordados.
Laranja Mecânica,Anthony Burgess,1962,Fascinado pelo tema distópico.
1984,George Orwell,1949,Releitura de um clássico.
O Apanhador no Campo de Centeio,J.D. Salinger,1951,Quero conhecer a obra que influenciou muitos escritores.
O Sol é para Todos,Harper Lee,1960,Uma obra importante da literatura.
As Crônicas de Gelo e Fogo,George R.R. Martin,Vários,Vários livros da série.
A Revolução dos Bichos,George Orwell,1945,Já li outros do autor e quero mais.
A Fantástica Fábrica de Chocolate,Roald Dahl,1964,Uma leitura divertida.
Crime e Castigo,Fiodor Dostoievski,1866,Explorar mais clássicos russos.
